name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
AbbVie Deutschland GmbH,DEU,Ludwigshafen am Rhein,"~2,800","originator_pharma,sterile_generics",research,"Immunology (Humira/adalimumab biologics), neuroscience",EUR 200M Ludwigshafen biologic + sterile fill expansion 2024–26,https://www.abbvie.de/newsroom.html,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,,,,,,,,,,,,,,,,,
Siegfried,CHE,Zofingen,2187,"cdmo_classic,originator_pharma,sterile_generics,vaccines",crustdata+research+research+research,Pharmaceutical Manufacturing / Siegfried is a leading CDMO with 13 production sites on three continents. With o,CHF 110M Hameln sterile capacity expansion 2024–26; Zofingen API + fill-finish,http://www.siegfried.ch,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,4.491161012900143,1.9105312208760483,31.409975935243928,,,0,,,,,500000000,1000000000,,,1995-04-07,48054,50322
NovaSep (now Axplora) Leverkusen,DEU,Leverkusen,~700,atmp_cell_gene,research,"Plasmid DNA, viral vector chromatography",Leverkusen pDNA capacity expansion 2024,https://www.axplora.com/news,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,17,29634465
Sintetica,CHE,Mendrisio + Couvet,~300,"originator_pharma,sterile_generics",research,"Sterile injectables (anaesthesia, pain, ICU)",CHF 80M Mendrisio Pod-2 sterile expansion 2024–25; Couvet BFS line,https://sintetica.com/sintetica,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,-4.848484848484849,0.964630225080386,13.453880099020557,,,0,,,,,50000000,100000000,1921,acquired,,21082,1118154
Richter-Helm BioLogics,DEU,"Hamburg, Bovenau",~250,"atmp_cell_gene,sterile_generics",research,"Plasmid DNA, microbial, mRNA inputs",Bovenau pDNA expansion (EUR 70M) commissioning 2025,https://www.richter-helm.eu/en/news,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,,,,,,,,,,,,,,,,,
Vienna BioCenter / Marinomed-aligned mRNA pilot (ACIB),AUT,Vienna/Graz,~250 (network),atmp_cell_gene,research,"mRNA process dev, viral vector PD",ACIB mRNA pilot line operational 2024; viral-vector PD expansion 2025,https://www.acib.at/news,,Tier 1,9,industry=3/3 capability=2/2 size=2/2 trigger=2/2,,-6.7357512953367875,-3.225806451612903,15.300445103857566,,,0,,,,,50000000,100000000,2010,,,12434,1164118
CSL Behring GmbH,DEU,"Marburg, Hattersheim","~3,800 (Marburg)","atmp_cell_gene,originator_pharma,plasma_fractionation",research,"Plasma-derived therapies (immunoglobulins, albumin, factor VIII)","""Protinus"" CHF 250 M (2 IgG lines, 90 k patients/yr extra capacity); 2025 announced Swiss workforce reduction shifting some volume; FY24 group capex USD 849 M",https://www.cslbehring.com/newsroom,,Tier 1,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,0.0,0.0,20.796100731112915,seed,2016-06-06,7000000,,,,,500000,1000000,2016,acquired,,1487,10792499
Octapharma,CHE,Lachen,2925,"originator_pharma,plasma_fractionation,specialty_orphan,sterile_generics",crustdata+research+research+research+research+research,"Pharmaceutical Manufacturing / Family-owned since 1983, Octapharma is a global healthcare company headquartered",EUR 400M Vienna plasma-fractionation + sterile-fill expansion 2024–26 (largest in EU),http://www.octapharma.com,,Tier 1,8,industry=3/3 capability=1/2 size=2/2 trigger=2/2,,6.790799561883899,1.6330785267546908,19.604339502233568,,,0,,,,,1000000000,1000000000000,1983,,,65597,16370
Bachem,CHE,Bubendorf,2006,"atmp_cell_gene,originator_pharma,vaccines",crustdata+research+research+research,"Pharmaceutical Manufacturing / The Swiss-based Bachem Group is a public, innovation-driven company specializing",Sisseln (CH) and Vista (US) oligonucleotide expansions 2024–25 supporting mRNA caps,https://bit.ly/2WiI0YG,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,13.52574985851726,2.4514811031664965,35.41477307156274,post_ipo_debt,2026-04-27,636670975,,,,,500000000,1000000000,1971,,1998-06-19,44695,73003
"Hexal AG (Sandoz Group, originator-adjacent)",DEU,"Holzkirchen, Barleben","~2,000",originator_pharma,research,Generics + originator fill-finish for Sandoz biosimilars,EUR 100M Barleben sterile expansion 2024,https://www.hexal.de/presse,,Tier 1,8,industry=2/3 capability=2/2 size=2/2 trigger=2/2,,-2.797202797202797,-1.4184397163120568,0.0,,,,,,,,0,0,,,,2,73385577
Lonza Cell & Gene Therapy,CHE,Visp + Basel,"~2,000 (CGT div)",atmp_cell_gene,research,"CAR-T, TCR-T, iPSC, viral vector CDMO",Visp Ibex Solutions pDNA + mRNA expansion (CHF 500M) ongoing 2024–26; Geneva viral-vector buildout,https://www.lonza.com,oncology_celltherapy,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,3,33387754
